나이,연봉,재산,예금,자동차배기량,자녀수,신청금액,신청기간월,학력점수,결혼점수,회사규모점수,대출분류점수,승인여부
27,39745202,210567928,175837348,1000,0,102799182,120,6,7,5,5,1
51,62712559,34251396,9120544,0,0,19288478,36,6,7,5,8,0
59,27080586,255369664,84611761,2000,0,168506909,36,2,7,9,8,0
23,43719545,227507719,171862115,1000,3,73295234,24,8,4,9,5,0
36,145477253,383584070,26934963,1000,0,118530534,48,3,7,3,7,1
32,75663912,329901350,169529029,2000,0,78814293,60,8,7,5,8,1
29,102162497,222973652,118540127,0,2,121532071,60,8,7,4,5,1
47,114394463,112330350,186259710,2500,1,150118602,60,10,7,3,5,1
65,67704982,363431783,175207822,1600,0,68728847,84,6,5,10,5,1
26,39139519,353931051,135406864,1600,1,106255968,24,6,7,5,7,0
27,46855532,76648080,131564531,0,0,160000534,12,8,5,7,5,0
47,60724641,457375915,42632840,2500,1,139131022,12,8,7,5,5,1
25,102688894,32202558,23350593,1600,2,16129227,60,6,7,3,4,1
40,71776471,27518854,83078685,0,0,115907971,84,3,5,7,5,1
41,20885910,93675208,37316007,0,4,78385066,48,8,7,3,6,0
54,88042934,454730399,20483343,1600,0,143212128,120,3,7,5,8,1
41,139796740,259999062,60465346,2000,2,8250228,120,3,5,9,5,1
33,125570089,393970460,172097988,3000,2,69466377,84,6,5,4,5,1
22,127277478,113921594,3429630,2000,0,21866149,48,6,7,2,5,1
47,123357542,245110987,58527536,1600,0,184495922,36,6,7,7,6,1
35,62085007,179144731,84810437,0,3,175917415,48,6,7,9,6,0
59,119475198,413914303,102113949,2000,2,193777292,60,3,7,5,6,1
58,38610976,11302219,36315501,3500,0,130476317,36,6,7,4,8,0
32,105503099,121921364,192844039,1600,0,162374528,60,3,4,7,4,1
57,103403913,76287112,115774608,0,3,124314406,84,6,5,3,4,1
34,23324073,429594519,104422109,0,1,100948542,84,6,4,2,6,0
64,122436117,233771924,1764517,0,0,167594988,12,6,7,3,7,0
24,137422253,202110021,97143075,1600,3,156352412,60,6,7,4,7,1
54,54763986,224741381,167534125,3000,1,147988977,36,6,7,5,5,1
27,125610794,485962275,43928908,0,1,179312629,60,6,5,5,5,1
31,30712776,425133697,70241513,1000,2,186105114,24,8,7,5,5,1
26,97995821,353184385,4114292,1600,2,91831023,84,6,5,5,5,1
44,83134092,145239479,195385502,3000,0,60150154,36,10,7,3,5,1
31,90970059,82586499,13330359,1600,3,104798182,48,6,7,9,6,1
65,140406676,460716814,179644224,0,3,23147908,12,10,7,9,7,1
23,133270982,211537761,62597542,0,0,187941289,48,6,5,5,6,1
34,122060875,139377899,117511280,1600,1,196851397,60,6,4,5,5,1
61,55580799,235460413,135863107,2500,3,132277447,48,6,4,5,5,0
23,138536421,458923711,28165833,0,1,150501530,36,10,7,4,6,1
41,32676000,193533656,88751875,1600,1,68116050,24,6,7,10,6,0
22,130932798,281320498,65093220,2000,2,173922154,48,10,4,3,5,1
58,62660809,401483150,11320493,1600,2,180558994,60,6,7,7,4,1
30,26990400,213566265,166638730,0,2,19995939,48,8,4,5,7,1
38,107016407,116770900,9033551,3000,2,30631554,48,10,7,3,8,1
30,50066390,497262874,130651591,1600,1,55866322,120,2,7,2,5,1
32,51664246,478285428,62815475,2000,2,142216522,36,8,5,3,7,0
36,59786131,421739584,38425865,2000,0,40756111,120,6,7,10,5,1
45,28279019,344186939,133417210,3500,1,47915619,120,6,7,5,5,1
59,43026528,147432814,114907542,1600,0,79463394,60,6,7,7,5,0
56,20668151,456706469,63051251,1600,1,124269089,120,3,7,2,7,0
51,77903237,137778335,102592149,1000,0,195380326,60,3,4,7,5,0
52,30953199,400404747,49247420,1000,1,157859465,24,6,4,9,5,0
26,108744838,459129083,172739291,0,2,113869185,120,8,5,9,8,1
65,50630970,301501920,62763756,3500,1,14630312,36,3,7,3,6,0
35,142664638,401528108,49030605,2500,0,105783783,84,6,5,10,8,1
32,133262711,395847549,150366742,1000,0,44796611,36,6,7,10,4,1
30,57627316,96578875,3518497,1000,3,63513464,12,10,5,3,7,0
55,121818009,333962236,53602346,0,2,53917834,24,3,5,3,5,1
33,124421837,46733968,75079044,2500,0,72752384,24,6,5,2,5,1
56,148253204,253925071,176447592,1000,3,17140657,60,2,7,7,5,1
56,97719198,81117774,190088360,1600,0,117483371,60,6,7,3,5,1
22,30655545,208174749,143295593,3000,2,13921843,24,8,5,5,6,1
61,104088839,416491037,98506356,1600,1,133813790,36,10,7,5,4,1
43,101247367,493583919,128124309,2500,0,147506454,12,6,4,4,7,0
50,102985575,158979915,82800210,1600,0,99782488,60,2,7,5,8,0
29,59928934,265977849,59765166,2000,2,157345137,12,8,7,7,8,0
32,131758346,255649012,190137613,1600,0,193641186,24,3,7,7,5,1
62,144731383,477200754,23078045,1000,1,71310259,36,6,5,5,7,1
58,48302626,239291866,69278713,3500,2,125686850,12,6,5,5,6,0
35,31459780,349553102,179817791,2000,0,68127689,84,10,4,5,7,1
51,45289554,460894616,144628286,1000,2,91460189,48,6,5,7,8,1
56,126671778,186689279,5820290,0,0,9060976,24,8,4,2,7,1
42,107963802,451061119,4619934,0,0,19498226,36,6,5,9,7,1
58,102686154,458728110,103302492,2000,2,160518102,24,8,5,3,6,1
26,72233107,465331251,96850611,1000,3,32282017,24,8,5,7,7,1
40,95117636,135223092,88598307,2500,2,141334528,12,6,7,7,7,0
35,60023636,200177797,60468752,1000,0,143229071,12,6,7,3,8,0
47,82036010,435197954,197327743,1000,4,199264063,48,10,5,7,5,1
25,123098193,179580912,54397464,2000,1,140641221,60,6,7,5,7,1
46,147561407,300126516,98008041,1600,1,30105409,48,8,4,7,6,1
63,141223560,59027253,80978619,2500,3,127175622,84,6,7,5,8,1
46,141402572,28137494,34049885,1600,0,107207849,36,8,5,9,5,1
39,72289085,205996994,40523763,0,1,183891197,120,8,5,9,7,1
61,80942684,289458266,183660548,1600,4,139579262,36,6,7,2,5,0
29,111732601,196349556,171655944,0,0,106103327,24,8,7,9,5,1
60,139884950,288867885,39808861,1000,1,126721708,12,6,4,4,6,0
61,38459253,257542188,175132524,0,0,91474690,24,10,7,5,7,0
35,59551442,342853614,41837226,2000,3,104139421,60,3,5,10,6,1
53,38102089,324766215,125309264,0,1,145857267,24,3,7,4,5,0
59,99561108,212122851,16256104,0,0,20277523,84,8,7,7,5,1
54,59819129,212497620,176073925,1000,0,124990437,36,8,7,9,5,1
44,62394020,70389170,10300059,0,1,22202406,84,6,4,5,5,0
36,29219074,256619286,110988577,0,2,171739973,36,2,7,3,5,0
54,65473488,293589564,155942305,1000,1,188780359,84,8,7,4,7,1
46,132124545,238244698,23366947,0,0,157139497,48,2,5,5,5,1
38,50299465,162853667,80896053,0,2,145016185,120,6,5,3,6,1
54,110374370,360824272,8390030,0,0,189030730,84,6,7,3,4,1
23,101851684,37330822,136550515,2500,2,47613021,24,6,7,3,7,1
35,132252999,457220184,61489918,2000,1,49622424,12,2,5,3,8,1
61,37197433,10321719,111879048,1600,2,98797996,60,6,5,5,5,0
61,147086694,481175066,186546454,3000,0,6455288,60,2,7,9,4,1
60,95741723,231177800,61171621,0,2,193188628,84,8,7,5,5,1
27,149411639,206334972,9725494,1000,3,11289227,12,6,5,9,6,1
27,138496914,128222008,135125553,2500,2,121241834,60,6,7,9,4,1
24,48797245,5035567,157368226,2000,2,74024910,84,6,5,10,5,0
28,27301061,137395132,191573711,3500,2,25078359,84,8,7,2,4,1
29,53233082,54699962,31560175,3000,1,9799912,12,3,7,2,7,0
63,88583274,329910421,78427985,0,0,56171616,12,10,5,4,5,0
36,42307527,159537486,168828092,3500,2,25803386,48,6,7,3,5,1
50,41769766,383589664,161374278,3000,2,188364073,84,10,5,9,4,1
54,80137161,103458093,124959141,1000,0,52728451,24,6,5,10,7,1
51,24324836,450117428,53873709,3500,0,23355726,36,6,7,9,5,1
60,35845450,261490757,56807058,0,1,155087996,36,6,7,4,6,0
48,74061974,57253098,24800598,2000,0,85779158,84,8,7,3,6,1
57,28206888,200422617,184370734,0,3,169514871,24,6,5,5,5,0
50,71578157,103380262,34586302,0,2,168494038,60,2,7,5,7,0
59,81620814,99842713,114577320,1600,0,198514246,120,6,5,9,6,1
54,78664659,253184868,116870283,1000,0,161746446,12,2,5,5,5,0
58,132992731,335946007,73921088,2000,0,46759609,36,10,7,5,5,1
48,88908119,455809102,70503692,1600,0,119357435,48,8,7,4,5,1
54,80837460,251081005,133717683,1000,0,107618765,60,6,4,5,6,1
25,73392201,482919387,77659555,0,3,104096977,48,6,7,5,5,1
43,126291039,470817426,51023078,2000,1,62877452,36,8,5,7,6,1
23,136357358,432531264,79826340,2500,0,45977461,24,6,4,5,8,1
31,130921520,249988632,161532415,2000,0,144794512,24,8,5,7,6,1
26,107561055,70451971,193295691,2000,2,24843537,48,8,5,5,5,1
31,37857026,108952234,127190046,1600,2,14675119,84,6,7,5,5,0
54,55993096,323835001,156420245,1000,1,79342508,60,6,4,4,5,1
59,25988198,210877490,106564972,1600,0,150065467,36,6,7,7,5,0
34,141007129,73400815,124964628,3500,4,174363935,12,6,7,10,5,1
52,105903808,239496966,197617331,2000,0,110324750,24,10,7,3,5,1
57,117027174,8715272,87683772,1600,2,168786822,48,8,7,5,5,1
45,60504326,366947685,13250939,1600,1,9931787,120,3,7,5,6,1
36,129934957,36790647,191401383,1600,2,93797048,36,10,5,10,5,1
50,53748426,314556809,158612344,2000,1,31010764,60,3,5,5,5,1
29,20213688,396505153,79662073,1600,3,118629916,84,6,7,3,7,0
26,68933945,66321937,196479010,2000,2,184592708,12,3,4,5,6,0
50,94198992,259319345,69107150,1000,0,6402140,12,2,7,10,4,1
25,82231631,389533757,74424039,1600,1,135303112,84,2,7,5,8,1
33,132069898,130316727,121946270,2500,0,159508195,24,6,5,2,4,1
23,33702687,81458296,54869477,1000,3,150173848,12,6,5,5,8,0
48,91997047,168409555,139714297,3500,0,8854972,36,6,7,7,5,1
52,86687315,277349588,30570060,0,0,38907296,24,8,5,9,5,1
57,56581087,287639797,21605063,0,1,23407867,24,6,7,5,4,0
57,126889654,65438166,106975601,1600,2,21663568,24,6,5,3,5,1
47,117870325,228784423,111098736,2000,0,147385905,84,8,7,10,7,1
64,115271694,134141097,21331013,2000,1,87833924,120,6,7,7,5,1
48,133905022,421012109,192835252,0,3,146340176,36,3,7,5,5,1
26,113961998,156787566,114657331,0,2,75346721,48,6,7,7,4,1
41,50139367,419352262,30206998,1600,1,27824615,12,8,7,10,5,1
32,111723152,214282306,62288504,0,0,145098159,12,2,7,9,7,0
31,60001365,363292882,160046842,1600,0,127081154,48,3,4,10,4,1
61,51482704,255030114,104646305,1600,1,27030350,24,6,7,3,5,1
59,29490467,310981312,37629669,1600,1,185251060,60,6,5,5,6,0
27,116723715,197678255,20569794,0,1,65239558,36,6,7,9,7,1
29,112430125,384103383,86154882,0,1,132672360,24,6,7,2,5,1
44,50484932,212594691,67482941,1000,0,11236279,24,6,7,5,6,0
47,117419272,228730823,131183470,0,2,91393274,24,6,5,5,7,1
64,139319314,258839334,185049397,1600,0,193051018,12,8,5,3,5,1
33,34043764,415912059,49546057,2500,3,177869174,84,6,4,10,5,1
47,50242762,329689464,171046786,0,0,48162714,84,2,4,3,8,1
34,117533903,174580193,184092395,0,1,176430415,120,6,7,9,8,1
61,55685867,335159816,180400519,0,0,62148682,84,6,5,7,6,1
39,101206316,321213286,190415465,2500,2,171185714,12,6,5,3,5,1
46,30551349,465509637,168421724,0,1,147199251,84,6,5,10,5,1
54,78786322,420708218,118697201,3500,1,73650257,60,10,7,5,5,1
61,116081884,323723461,81969219,1000,1,182604224,36,8,5,5,8,1
64,109246812,170753555,98337557,1000,1,99629462,120,6,7,5,5,1
33,125959373,389788224,174522434,0,3,66950343,24,8,5,5,7,1
65,134068776,287604146,60279675,1600,0,59538742,120,2,7,7,7,1
57,120513855,492634994,31852338,1600,2,188118087,84,3,7,3,5,1
25,107306406,123753064,28163843,1600,2,152923293,120,6,7,7,5,1
26,24123923,39827920,165398921,1000,0,73230323,120,6,7,5,7,0
58,89545667,34945905,152297137,1000,3,54562846,12,10,7,7,4,1
29,24900704,320015194,99529068,1000,0,46265323,48,6,7,7,8,1
63,125048816,469630114,54974285,1600,0,52676063,12,6,7,4,5,1
49,61694188,965957,135522635,1000,1,26640981,24,6,5,10,8,1
52,93115818,362885523,7686619,2000,2,99523316,24,6,5,3,5,1
30,56327889,328532591,113645563,0,3,13009071,12,8,7,5,8,1
50,121725018,366152096,79685033,1000,1,7245356,48,6,7,3,8,1
35,135245328,177702703,195571926,1600,3,125524155,48,6,4,7,6,1
61,71823524,410248222,101512049,0,3,22253467,120,2,7,3,5,1
62,132179911,22353465,110453550,1600,1,169815874,24,6,5,5,5,0
43,54719750,377715550,142472532,0,1,25812111,120,6,7,10,7,1
32,89505919,133535970,96907696,0,0,110820454,12,8,7,3,7,1
44,131638985,238418887,44913723,3000,2,136723210,36,8,7,3,5,1
22,62364574,411318135,107455569,1000,0,49685323,36,6,7,7,5,1
58,144025494,135679517,188853774,1600,2,178211510,24,6,7,9,7,1
42,35844335,92603755,81982197,2500,3,98870445,48,8,5,3,8,0
47,22375759,340656592,135928190,0,2,66487223,36,8,7,5,5,0
57,137537595,266697445,195606837,2500,2,180720078,12,10,7,7,6,1
44,28924326,257201934,165984462,0,2,172376347,120,8,7,5,5,1
22,148945595,128384757,131806826,1600,2,143377343,60,6,7,7,5,1
61,143681592,17440152,147199297,2000,1,61644077,60,8,7,7,7,1
36,37812718,205134569,187296649,3000,1,81090236,48,6,7,5,5,1
42,89886001,53279740,191950420,2000,0,139498005,84,10,7,10,7,1
30,44039638,452994575,193793626,1600,1,41130443,60,8,7,5,4,1
30,75660172,20625161,125128325,1600,1,101546932,12,6,5,7,5,0
31,27985266,215825427,76942329,0,1,148855841,84,6,7,7,7,0
47,49110196,26122791,26630625,2000,2,133254020,24,3,7,10,5,0
62,67225463,47771937,77109600,0,0,145386951,24,3,5,5,7,0
56,77024175,329433333,188591090,1600,2,178924249,12,6,7,5,8,1
46,147074513,323555630,177959416,2000,2,193815897,24,8,7,3,4,1
47,125022533,16526097,104731932,2500,3,94384784,12,6,5,2,8,0
32,115863292,565737,107401457,1600,1,16696459,12,6,7,10,5,1
59,89815370,39409038,61784069,2000,0,167698313,60,8,5,7,5,1
23,129199708,381499448,90901578,0,2,28003356,84,6,7,4,5,1
28,64111968,292288236,142889698,0,1,47791653,60,8,7,7,5,1
39,112156884,19059122,80486145,1600,2,132367653,48,6,5,10,6,1
48,149191916,244048507,37596774,1600,4,150418372,60,6,4,10,8,1
55,60901758,356014678,108171915,2000,0,140456213,24,6,5,5,5,0
48,107622279,434475697,45067382,2000,1,90505977,84,10,7,5,7,1
38,129760932,467018245,194857511,0,0,184023076,60,3,7,2,5,1
64,139054985,163720281,78067982,2000,3,167278272,12,3,7,5,5,0
65,113331249,67916214,181932994,0,0,134418105,60,6,4,4,4,1
45,56869030,118462960,45110799,0,0,91009758,24,10,7,5,5,1
46,62416679,388085746,37841801,0,0,95446056,48,3,4,7,7,1
28,22698544,485742107,123380225,2000,2,39313495,84,8,7,10,7,1
27,118915177,233196808,155875815,1600,2,157042474,36,8,7,9,7,1
45,25556148,152676606,113352912,0,1,173862859,84,6,7,7,6,0
54,132404806,214595290,45959136,1600,0,166319923,12,6,4,10,7,0
50,35425879,152406572,7578872,1000,0,111684099,24,6,4,7,7,0
64,42343946,128243761,123657764,2500,2,168398522,24,6,4,10,7,0
43,81948441,296875376,26207445,1600,1,159129722,120,8,7,10,8,1
47,115924453,7867990,68635277,0,1,167310066,36,3,5,4,8,0
49,38070286,129776124,135156950,3500,2,196476999,48,6,5,7,5,0
42,77209239,330691038,19604688,0,3,162950006,12,6,5,5,5,0
28,82770665,16031348,25450295,2000,0,57784543,48,6,5,3,5,0
38,47597133,41600908,12333241,1600,1,165068268,36,6,5,3,7,0
41,35022588,146698072,199215825,0,0,78248845,12,10,5,5,7,0
62,128734719,438902399,77415353,2000,1,105657482,60,6,5,4,8,1
41,85320534,382443080,181159033,0,2,160297907,48,6,4,10,8,1
43,21869560,11078314,58717127,2500,1,66760172,60,3,5,3,4,0
49,124387569,250856408,150640513,0,2,10086213,12,6,5,5,7,1
61,147503194,137343746,43813323,1000,1,145038181,36,6,7,5,7,1
28,98770405,324322829,99664941,2000,1,180923953,60,8,7,4,6,1
22,85482090,360776941,164923147,0,2,185938247,60,6,5,5,5,1
53,134194062,431431288,163266879,1600,1,160787485,24,8,5,5,8,1
34,143827182,237708118,158856143,2500,1,187352857,12,10,5,5,6,1
51,118089799,497225044,164746882,2000,4,165027938,84,3,7,5,6,1
44,77908880,489993053,42294456,1000,2,10869314,36,8,5,3,7,1
40,96988781,441083362,96443254,2000,3,73182807,24,3,7,5,8,1
53,111121597,287434747,96974294,3000,1,70540733,48,6,7,10,5,1
51,45255564,199003218,178100497,0,0,47737047,36,6,7,4,6,1
50,78136134,182193155,59378365,1600,4,160597720,120,8,7,2,5,1
50,127876764,6062375,186299178,0,0,106417519,24,6,5,7,7,1
51,105114295,124587248,90159147,2500,3,168076429,120,8,7,3,5,1
37,73456528,359404117,133957400,2000,3,122263111,48,6,7,5,8,1
61,106237129,301816049,53776622,2500,2,120168822,120,6,7,4,6,1
40,35368913,458211094,82059621,3000,0,79908948,36,6,4,9,5,1
39,72194689,25011133,141960186,0,3,158972569,24,8,5,3,5,0
22,123106709,77638301,102549428,0,2,138202874,36,3,4,9,5,1
35,48666142,394621894,186141602,0,2,71056610,60,6,4,10,6,1
23,44174995,179253815,147424993,1000,2,198746795,24,6,5,7,8,0
49,143606425,59172666,112880585,2000,1,95243893,60,6,5,5,7,1
51,47286691,498225252,177333951,2000,0,66735088,24,3,5,3,5,1
59,53919415,393625151,133111277,1000,1,139119645,60,6,7,3,5,1
25,146050072,204370518,129464094,1600,0,48447448,120,6,5,7,4,1
22,115512114,411673738,49274266,2000,2,166975594,12,6,5,10,6,1
29,110947549,340301935,78971393,0,1,137670897,60,6,4,3,8,1
50,130880429,394987379,136660730,0,1,174662743,12,8,5,5,6,1
60,35057000,407603188,178358342,1600,0,69165015,84,6,7,4,6,1
24,111774310,42364341,63109494,1600,0,171612984,36,6,7,3,5,0
53,85479519,311486443,43097124,3000,2,102681572,120,8,4,7,7,1
31,127789583,3392776,118739195,1000,2,16535473,48,6,5,10,8,1
31,86058423,21728123,13439419,2000,1,42863007,48,2,5,9,7,0
40,100631376,451990004,142908340,1600,2,47441587,48,6,7,10,6,1
55,82106476,263781860,140627708,0,1,154758240,12,8,7,10,5,1
54,82160660,367950992,70993206,0,2,44609455,48,8,4,7,7,1
44,119836097,419250495,178535530,0,0,114573864,48,10,5,5,5,1
49,101713632,474793383,100436228,0,0,132245696,60,2,7,7,5,1
53,102324216,434676423,129152990,1000,0,155902187,84,3,7,3,5,1
28,78536722,241655724,41915696,1600,0,157856642,48,3,4,2,5,0
50,89044234,167985153,83468067,2000,3,144932751,12,8,7,7,7,0
29,116943296,77246618,172483508,1600,4,46570840,60,6,7,3,6,1
22,127372319,200160741,42587909,0,2,110976516,12,8,5,10,8,0
24,110552982,183246789,78114875,2000,1,61583068,24,3,5,10,4,1
45,140129488,279787420,63615308,1600,1,156144023,48,8,7,5,7,1
44,126642131,332754704,30222036,3000,2,150878098,12,3,5,2,5,0
29,93042292,489162738,57943583,3000,1,49781275,12,6,7,9,7,1
58,107282789,364193093,46554456,2000,3,130061830,60,2,5,10,7,1
24,140420075,321874266,184718726,2000,0,16393440,24,3,7,7,6,1
54,100491845,167546217,148215760,0,0,154866941,24,6,5,9,4,1
49,127224903,17251938,63220316,0,4,157139402,48,3,7,7,6,1
29,109545365,144062564,152667810,2500,4,72667322,120,10,7,3,6,1
55,91751726,384223950,4427990,1600,3,162220026,84,8,5,10,5,1
56,51438965,102635970,105304942,1600,1,172368022,36,8,5,4,5,0
53,75379677,356094096,50066912,2500,2,42061271,36,6,7,5,7,1
45,145806567,289889921,22864414,2000,0,73424545,60,6,5,5,5,1
35,105509499,85928434,176751705,0,0,55910731,120,3,5,3,6,1
53,93371399,130812403,39868106,0,1,77999874,48,6,7,10,7,1
64,141284361,248151801,164478218,0,3,92146310,60,6,7,5,6,1
37,96246531,209187352,82644535,2000,0,104443905,84,8,5,5,5,1
25,88390727,389281923,2858154,1600,1,11845221,48,6,4,10,8,1
58,118710411,367202321,146506565,3000,2,15757438,24,3,4,10,4,1
42,112646530,287287251,119271951,2000,1,132770753,36,6,4,7,6,1
35,45110801,411137355,68834376,0,0,91334570,12,6,7,7,5,1
52,81270075,281334770,56309186,0,0,22498832,36,3,4,2,5,0
39,81427007,482194628,14738250,1600,3,80314833,48,6,7,5,7,1
28,69169186,108612049,188285118,3000,1,97721504,120,3,7,5,5,1
31,87248152,357065996,98796976,0,2,128940070,84,10,7,3,7,1
28,73703961,184972066,17104903,2500,1,28074362,36,6,5,4,5,0
54,45914913,139483097,173735943,1000,0,198986841,12,8,4,5,7,0
44,73607643,90193737,55766634,0,0,97567579,24,6,7,5,7,0
42,29396003,276251738,40720543,3000,0,137754161,24,6,4,5,5,0
40,94852162,107734716,56187487,0,0,182102543,48,3,5,10,8,1
40,130975091,100175425,112914291,2000,0,11205555,36,6,4,9,7,1
57,114287320,495265952,14811296,0,2,122265000,48,6,5,3,5,1
50,66851225,400873708,96351381,2500,2,110369369,36,3,7,4,5,0
39,31319256,374138410,179148689,2500,2,16194326,120,10,7,5,7,1
23,46279421,397030312,37634319,2500,3,140140410,60,6,7,5,8,0
22,90913744,484461436,66237754,0,2,48052564,48,6,7,5,7,1
26,46917420,286638344,79224393,0,0,141866909,36,6,7,7,4,0
41,90716504,110121938,117244142,1600,1,75712689,60,6,5,7,5,1
32,50107873,431104820,183850849,0,0,155174609,120,8,7,9,7,1
63,130360103,371365364,78907841,2000,2,188643481,48,6,5,4,5,1
23,71645291,207154156,13830568,1600,0,172799960,120,3,7,10,5,1
24,51921581,236784749,69590172,0,0,99101846,24,6,5,5,8,0
44,125602403,205626199,38017082,2000,0,48928216,84,6,7,5,7,1
33,64569065,464971080,130354895,2500,4,198522586,60,6,4,3,5,1
41,34493399,171765805,5852421,3500,2,133602240,120,6,5,3,7,0
26,94153233,481742139,58385994,1000,0,82210764,48,8,7,5,5,1
58,95603346,455135885,109034701,1000,1,98897130,12,8,5,2,7,1
59,112910437,315260571,55466841,0,0,29970781,84,6,5,9,5,1
51,51228526,289910886,110199056,0,0,103531945,24,10,7,9,5,1
30,77690274,185044640,22942464,1000,0,38767078,84,3,7,5,7,0
55,56707829,9169194,188561097,3500,1,76320371,84,6,7,5,6,0
65,30523985,63811593,58181361,0,2,100894556,60,10,4,5,5,0
56,133959797,377115661,184600167,0,1,189820754,36,6,7,5,4,1
43,114753074,235770063,65167087,0,4,126815151,12,6,4,9,4,1
65,59190197,74919067,156368038,0,0,77518585,36,3,7,7,6,0
45,97918489,131980427,49237471,0,3,27052412,84,8,7,3,5,1
38,46164292,473918449,133953780,1600,2,150701774,12,6,7,5,5,0
31,135730760,183566417,64743242,1600,3,96036314,48,8,7,7,7,1
51,34937824,453840972,101831825,0,2,18290255,120,6,7,5,5,1
44,20498828,152317916,134762829,0,1,133090550,48,3,5,7,5,0
53,85261065,271610047,117776501,2000,1,73270549,36,6,5,10,6,1
38,95806617,10238541,115256118,1000,0,83758799,84,6,7,3,8,1
38,95265491,260937555,13136167,0,0,168576495,36,10,5,4,5,1
35,27086550,318471005,49815366,3000,0,31775106,36,10,5,7,7,1
30,60825694,117152549,114367857,1600,1,71373099,60,6,7,9,7,1
61,84895863,289468588,3663441,1600,0,75915288,84,3,5,10,5,0
23,48155294,323583886,50128851,2500,1,5649224,24,6,7,5,7,1
46,133441365,343443039,45837047,1600,2,169839138,36,6,7,10,5,1
60,31324207,388201661,49971222,2500,3,167885950,48,3,5,10,5,0
30,83359977,155669621,107121899,3000,2,134058080,120,8,5,7,5,1
43,109884087,283888478,116392070,0,0,180293480,84,3,5,3,7,1
64,54027643,490789514,181799598,2500,0,58212888,84,8,7,2,8,1
25,101151295,449072085,77206209,0,0,48022904,84,8,7,9,6,1
47,127820069,476332714,185315783,0,1,18361556,120,6,7,4,6,1
50,44743806,193068199,130390868,2500,4,120442498,48,8,7,3,7,0
55,139238676,393464052,182532079,3000,0,101789313,36,8,7,5,6,1
44,91962609,309948975,166694420,2000,1,163027281,84,8,7,5,5,1
58,58900160,41367541,137516488,0,2,98850972,84,6,5,4,5,0
32,76011575,411990194,71221179,1600,0,44631062,120,6,7,2,4,1
27,60584944,338550638,48222089,1600,4,162871398,36,10,7,10,7,1
39,114264450,99458679,44478287,0,0,93813641,120,6,5,5,5,1
42,123519086,39869278,190434767,3500,3,191386893,48,8,7,5,4,1
63,128281861,418511065,191714768,1000,1,109221926,60,6,5,5,6,1
57,148149872,39450914,144966274,0,0,27764092,84,6,7,4,5,1
62,122866958,45676932,176759196,0,0,170949766,12,2,5,5,8,0
59,98179929,213704143,183799232,1000,0,176290025,48,6,5,10,7,1
55,64098638,67398914,102311239,2000,1,91859150,12,10,7,5,4,0
38,90797408,456834798,125811938,0,3,10068636,36,6,7,4,5,1
58,25338862,235141968,83750899,2000,2,10796076,24,6,4,5,5,0
46,116827259,284575490,83698152,0,2,73474104,36,6,7,9,6,1
59,77974220,464053044,7685783,1600,1,144665282,120,10,7,5,5,1
33,22603019,265131612,86764292,2000,1,69555103,36,10,4,10,5,0
44,28125902,176795572,134697962,0,0,6507334,36,8,5,7,5,1
63,70370640,398577552,84396433,1600,0,170471350,84,6,5,10,5,1
43,95844797,221425098,174481935,2000,0,193902824,48,3,7,7,5,1
42,80346513,159234712,66512590,1600,1,72542043,48,8,7,5,5,1
48,100496561,361614729,26536409,1600,1,19249570,24,6,7,4,5,1
52,82438253,400802838,162311738,2500,0,61825285,120,8,7,5,5,1
27,106021499,395858083,134789583,3500,4,160806126,12,8,5,9,8,1
48,48486388,488837207,48363896,0,0,110740428,120,6,7,7,6,1
61,34669614,393333474,107290251,2000,0,79877199,12,8,7,10,8,1
55,97536414,384966717,80370467,0,2,70174245,12,8,7,7,5,1
33,83009637,428742626,187771955,0,2,27502009,36,10,4,9,4,1
28,23492795,92597,121466418,0,4,71205182,24,6,7,5,5,0
31,69462645,181215705,31677852,3500,1,96671145,36,8,5,5,8,0
38,33796326,368801548,100429690,1600,0,136262507,24,6,7,10,4,1
47,89076388,299859505,172511366,0,3,56105279,60,3,5,3,7,1
42,71451098,88786001,134299334,0,4,179988881,48,6,4,4,7,1
49,99709748,151866544,168490415,3000,3,99535947,84,3,7,5,8,1
23,124728288,168396305,50079862,1000,3,84006445,84,6,7,4,7,1
64,58956928,283914055,177670275,1000,0,120820979,84,3,7,5,5,1
22,145073273,415799148,151122266,2500,3,37686630,36,10,7,10,5,1
57,89632485,466245889,145782751,2000,4,25784154,60,6,5,3,5,1
47,100377803,375046206,69308213,0,1,72575372,12,6,7,2,8,1
50,108487408,421475195,177531612,1600,2,12787011,84,6,7,4,4,1
42,106675098,235047979,127595875,3000,2,78628724,60,6,4,7,5,1
32,86426196,194887659,170367895,3000,0,135939625,84,3,5,7,7,1
61,75739357,196354266,72194291,0,1,163363849,48,6,7,9,6,0
32,26991655,308019264,29130418,0,3,118053806,84,10,7,5,6,0
57,22871159,62118352,66467436,0,1,139809185,48,8,4,3,6,0
60,66534955,289747091,91052869,1600,1,167460308,84,6,5,4,4,1
61,63375915,332566430,106681475,2000,1,155760369,84,6,7,5,5,1
56,70400370,219454370,102161843,0,0,67396473,48,6,7,7,5,1
55,37987866,476583588,109210918,2000,2,116817422,120,6,7,10,5,1
45,115961875,304106636,168341153,2000,1,56646365,84,6,7,5,5,1
